t,E
0,0.00325521
0.00390625,0.00703835
0.0078125,0.0169613
0.0117188,0.0299319
0.015625,0.0434076
0.0195312,0.0564117
0.0234375,0.068888
0.0273438,0.0808352
0.03125,0.0922475
0.0351562,0.10343
0.0390625,0.114868
0.0429688,0.126797
0.046875,0.139041
0.0507812,0.151237
0.0546875,0.163066
0.0585938,0.174339
0.0625,0.185063
0.0664062,0.195502
0.0703125,0.206046
0.0742188,0.216933
0.078125,0.228091
0.0820312,0.239225
0.0859375,0.250004
0.0898438,0.260216
0.09375,0.269848
0.0976562,0.279118
0.101562,0.288361
0.105469,0.29782
0.109375,0.307483
0.113281,0.317125
0.117188,0.326447
0.121094,0.335234
0.125,0.343443
0.128906,0.351241
0.132812,0.358906
0.136719,0.366667
0.140625,0.374559
0.144531,0.382423
0.148438,0.390011
0.152344,0.397124
0.15625,0.403702
0.160156,0.409855
0.164062,0.415801
0.167969,0.421742
0.171875,0.42774
0.175781,0.433699
0.179688,0.439431
0.183594,0.44477
0.1875,0.449644
0.191406,0.454118
0.195312,0.45835
0.199219,0.462504
0.203125,0.466653
0.207031,0.470749
0.210938,0.474668
0.214844,0.478282
0.21875,0.481526
0.222656,0.484429
0.226562,0.487094
0.230469,0.489642
0.234375,0.492141
0.238281,0.494579
0.242188,0.496883
0.246094,0.498971
0.25,0.500794
0.253906,0.502363
0.257812,0.503735
0.261719,0.504987
0.265625,0.50617
0.269531,0.50729
0.273438,0.508315
0.277344,0.509206
0.28125,0.509935
0.285156,0.51051
0.289062,0.51096
0.292969,0.511322
0.296875,0.511624
0.300781,0.51187
0.304688,0.512055
0.308594,0.512171
0.3125,0.51222
0.316406,0.512217
0.320312,0.512178
0.324219,0.512113
0.328125,0.512021
0.332031,0.511896
0.335938,0.511738
0.339844,0.511559
0.34375,0.511388
0.347656,0.511256
0.351562,0.511184
0.355469,0.511166
0.359375,0.511179
0.363281,0.511192
0.367188,0.511197
0.371094,0.511212
0.375,0.511284
0.378906,0.511468
0.382812,0.511799
0.386719,0.512271
0.390625,0.512845
0.394531,0.513465
0.398438,0.5141
0.402344,0.51476
0.40625,0.5155
0.410156,0.516395
0.414062,0.517506
0.417969,0.51884
0.421875,0.520351
0.425781,0.521961
0.429688,0.523608
0.433594,0.525282
0.4375,0.527033
0.441406,0.528953
0.445312,0.531128
0.449219,0.533591
0.453125,0.536301
0.457031,0.539163
0.460938,0.542085
0.464844,0.545026
0.46875,0.54802
0.472656,0.551166
0.476562,0.554575
0.480469,0.558308
0.484375,0.562341
0.488281,0.566575
0.492188,0.570891
0.496094,0.575212
0.5,0.579549
0.503906,0.583993
0.507812,0.588674
0.511719,0.593683
0.515625,0.599023
0.519531,0.604598
0.523438,0.610273
