time,u_numerical,u_exact
0.00390625,-1.94076e-18,0
0.0078125,-2.2051e-17,0
0.0117188,-4.68041e-17,0
0.015625,-3.94879e-17,0
0.0195312,-1.07632e-17,0
0.0234375,1.56315e-17,0
0.0273438,9.59488e-18,0
0.03125,-5.42668e-17,0
0.0351562,-1.62871e-16,0
0.0390625,-3.03099e-16,0
0.0429688,-5.20111e-16,0
0.046875,-8.49168e-16,0
0.0507812,-1.10273e-15,0
0.0546875,-9.92007e-16,0
0.0585938,-5.82952e-16,0
0.0625,-2.66792e-16,0
0.0664062,-8.42077e-17,0
0.0703125,5.08451e-16,0
0.0742188,1.76796e-15,0
0.078125,2.92309e-15,0
0.0820312,2.95723e-15,0
0.0859375,1.88481e-15,0
0.0898438,4.75778e-16,0
0.09375,-1.02177e-15,0
0.0976562,-2.73539e-15,0
0.101562,-3.70473e-15,0
0.105469,-2.03015e-15,0
0.109375,2.70792e-15,0
0.113281,8.3826e-15,0
0.117188,1.30394e-14,0
0.121094,1.77398e-14,0
0.125,2.45957e-14,0
0.128906,3.24009e-14,0
0.132812,3.69514e-14,0
0.136719,3.59958e-14,0
0.140625,3.14932e-14,0
0.144531,2.82257e-14,0
0.148438,3.45981e-14,0
0.152344,6.182e-14,0
0.15625,1.12021e-13,0
0.160156,1.67942e-13,0
0.164062,2.104e-13,0
0.167969,2.45038e-13,0
0.171875,2.93921e-13,0
0.175781,3.52538e-13,0
0.179688,3.72227e-13,0
0.183594,3.10419e-13,0
0.1875,1.80628e-13,0
0.191406,5.92841e-14,0
0.195312,8.42428e-14,0
0.199219,3.06973e-13,0
0.203125,3.88659e-13,0
0.207031,-4.03584e-14,0
0.210938,-9.44653e-14,0
0.214844,1.78218e-12,0
0.21875,3.63299e-12,0
0.222656,1.43941e-13,0
0.226562,-5.30083e-12,0
0.230469,3.26976e-12,0
0.234375,2.24478e-11,0
0.238281,6.90397e-12,0
0.242188,-5.29218e-11,0
0.246094,-3.90427e-11,0
0.25,1.27876e-10,0
0.253906,1.75476e-10,0
0.257812,-2.36428e-10,0
0.261719,-5.82887e-10,0
0.265625,2.75958e-10,0
0.269531,1.64855e-09,0
0.273438,3.26962e-10,0
0.277344,-3.85823e-09,0
0.28125,-3.26998e-09,0
0.285156,7.1559e-09,0
0.289062,1.26151e-08,0
0.292969,-8.12868e-09,0
0.296875,-3.49782e-08,0
0.300781,-6.39519e-09,0
0.304688,7.451e-08,0
0.308594,6.9592e-08,0
0.3125,-1.11843e-07,0
0.316406,-2.37322e-07,0
0.320312,5.55808e-08,0
0.324219,5.47475e-07,0
0.328125,3.22702e-07,0
0.332031,-8.68663e-07,0
0.335938,-1.37334e-06,0
0.339844,6.00592e-07,0
0.34375,3.23027e-06,0
0.347656,1.58637e-06,0
0.351562,-4.85448e-06,0
0.355469,-7.25492e-06,0
0.359375,2.67907e-06,0
0.363281,1.57639e-05,0
0.367188,9.33632e-06,0
0.371094,-1.96784e-05,0
0.375,-3.44717e-05,0
0.378906,2.12172e-06,0
0.382812,6.05874e-05,0
0.386719,5.34804e-05,0
0.390625,-4.86639e-05,0
0.394531,-0.000132627,0
0.398438,-5.08612e-05,0
0.402344,0.000155943,0
0.40625,0.000229404,0
0.410156,-5.56171e-06,0
0.414062,-0.000337746,0
0.417969,-0.000328506,0
0.421875,0.000136196,0
0.425781,0.000578373,0
0.429688,0.000411175,0
0.433594,-0.000307856,0
0.4375,-0.00081698,0
0.441406,-0.000483626,0
0.445312,0.000422761,0
0.449219,0.000985873,0
0.453125,0.00064873,0
0.457031,-0.000223616,0
0.460938,-0.000819184,0
0.464844,-0.000706902,0
0.46875,-6.09361e-05,0
0.472656,0.00073912,0
0.476562,0.00143852,0
0.480469,0.00187103,0
0.484375,0.00193153,0
0.488281,0.00179404,0
0.492188,0.00202125,0
0.496094,0.00325881,0
0.5,0.00585782,0
0.503906,0.00992344,0
0.507812,0.0156346,0
0.511719,0.0232504,0
0.515625,0.0327193,0
0.519531,0.043451,0
0.523438,0.0545909,0
0.527344,0.0654369,0
0.53125,0.075556,0
0.535156,0.0847239,0
0.539062,0.0930068,0
0.542969,0.100858,0
0.546875,0.10887,0
0.550781,0.117311,0
0.554688,0.12597,0
0.558594,0.134475,0
0.5625,0.142618,0
0.566406,0.150357,0
0.570312,0.157703,0
0.574219,0.164773,0
0.578125,0.171838,0
0.582031,0.179123,0
0.585938,0.186547,0
0.589844,0.193801,0
0.59375,0.200677,0
0.597656,0.207198,0
0.601562,0.213462,0
0.605469,0.21951,0
0.609375,0.225417,0
0.613281,0.231321,0
0.617188,0.237265,0
0.621094,0.243088,0
0.625,0.248602,0
0.628906,0.253798,0
0.632812,0.258795,0
0.636719,0.263633,0
0.640625,0.268275,0
0.644531,0.272745,0
0.648438,0.277125,0
0.652344,0.281407,0
0.65625,0.285474,0
0.660156,0.289276,0
0.664062,0.292888,0
0.667969,0.296362,0
0.671875,0.29963,0
0.675781,0.302627,0
0.679688,0.305419,0
0.683594,0.308096,0
0.6875,0.310646,0
0.691406,0.313,0
0.695312,0.315167,0
0.699219,0.317182,0
0.703125,0.31899,0
0.707031,0.320493,0
0.710938,0.32171,0
0.714844,0.322777,0
0.71875,0.32377,0
0.722656,0.324644,0
0.726562,0.325342,0
0.730469,0.325861,0
0.734375,0.326167,0
0.738281,0.32617,0
0.742188,0.325856,0
0.746094,0.325352,0
0.75,0.324796,0
0.753906,0.324182,0
0.757812,0.323421,0
0.761719,0.322457,0
0.765625,0.321267,0
